num,name,rarity,types,passive,passive_cat,appearances,wins,winrate,koGiven,koReceived,koRatio,hpRemAvg
39,Platoon,ÉPIQUE,Guerre+Drame,Le baptême du feu,entry_drop,109,58,0.5321,48,69,0.70,172.3
40,Full Metal Jacket,LÉGENDAIRE,Guerre,Voici mon fusil,status_immune,194,116,0.5979,298,127,2.35,95.6
41,Piège de cristal,LÉGENDAIRE,Action+Thriller,Yippee-ki-yay,lowhp_boost,195,129,0.6615,288,142,2.03,124.7
42,Le Cercle des poètes disparus,ÉPIQUE,Drame,Ô Capitaine; mon Capitaine,lowhp_boost,110,49,0.4455,42,78,0.54,187.0
43,Goodfellas,LÉGENDAIRE,Crime+Drame,Je suis drôle comment ?,miss_chance,195,92,0.4718,173,151,1.15,118.6
44,Pretty Woman,RARE,Romance+Comédie,Le conte de fées de Hollywood,regen_start,109,48,0.4404,45,75,0.60,168.8
45,Le Silence des agneaux,LÉGENDAIRE,Thriller+Horreur,Un foie; des fèves et un bon Chianti,entry_drop,195,132,0.6769,269,141,1.91,110.7
46,Reservoir Dogs,ÉPIQUE,Crime+Thriller,Mr. Pink se défile,evasion,109,56,0.5138,129,58,2.22,155.1
47,Impitoyable,ÉPIQUE,Western,Le tueur repenti,entry_drop,109,40,0.3670,20,79,0.25,229.6
48,Le Seigneur des anneaux : La Communauté de l'anneau,LÉGENDAIRE,Fantastique+Aventure,Vous ne passerez pas !,dodge_first,195,103,0.5282,162,148,1.09,109.2
49,Pulp Fiction,LÉGENDAIRE,Crime+Thriller,Ézéchiel 25:17,start_boost,195,130,0.6667,283,139,2.04,119.3
50,Seven,LÉGENDAIRE,Thriller+Crime,Qu'y a-t-il dans la boîte ?!,flavor,195,118,0.6051,278,126,2.21,133.7
51,Heat,ÉPIQUE,Crime+Thriller,Le casse millimétré,evasion,109,57,0.5229,70,69,1.01,154.0
52,Braveheart,ÉPIQUE,Guerre+Drame,La guérilla des Highlands,evasion,109,48,0.4404,70,77,0.91,176.5
53,Toy Story,LÉGENDAIRE,Animation+Aventure,Vers l'infini et au-delà !,start_boost,195,114,0.5846,249,127,1.96,112.3
54,Fargo,ÉPIQUE,Crime+Comédie,Le plan qui dérape,evasion,109,60,0.5505,66,71,0.93,165.6
55,Trainspotting,LÉGENDAIRE,Drame+Comédie,Choisis la vie,start_boost,195,105,0.5385,145,143,1.01,87.0
56,Princesse Mononoké,LÉGENDAIRE,Animation+Fantastique,Le bras maudit,true_hit,195,120,0.6154,218,163,1.34,137.9
57,The Big Lebowski,ÉPIQUE,Comédie+Crime,Le Dude s'en accommode,miss_chance,109,54,0.4954,61,71,0.86,178.1
58,Il faut sauver le soldat Ryan,LÉGENDAIRE,Guerre+Drame,Méritez-le,flavor,195,125,0.6410,175,136,1.29,99.3
59,Matrix,LÉGENDAIRE,Science-Fiction+Action,Il n'y a pas de cuillère,dodge_first,196,126,0.6429,331,125,2.65,96.3
60,Fight Club,LÉGENDAIRE,Drame+Thriller,Les règles du Fight Club » (rotation),per_turn_boost,195,135,0.6923,444,99,4.48,101.3
61,American Beauty,ÉPIQUE,Drame,La beauté cachée,lowhp_boost,109,56,0.5138,65,70,0.93,157.8
62,Memento,LÉGENDAIRE,Thriller+Crime,Mémoire de court terme,status_immune,195,120,0.6154,242,134,1.81,114.7
63,Requiem for a Dream,ÉPIQUE,Drame,Le dernier sursaut,lowhp_boost,109,53,0.4862,67,71,0.94,161.3
64,Amélie,ÉPIQUE,Comédie+Romance,La fabuleuse espièglerie,miss_chance,109,61,0.5596,86,76,1.13,199.0
65,La Cité de Dieu,ÉPIQUE,Crime+Drame,La fuite dans les favelas,evasion,109,50,0.4587,81,68,1.19,140.9
66,Catch Me If You Can,ÉPIQUE,Crime+Aventure,Attrape-moi si tu peux,evasion,109,60,0.5505,84,66,1.27,133.2
67,Kill Bill,LÉGENDAIRE,Action+Crime,Bouge ton gros orteil,lowhp_boost,194,128,0.6598,348,118,2.95,94.0
68,Oldboy,ÉPIQUE,Thriller+Action,Quinze ans d'attente,evasion,109,53,0.4862,71,63,1.13,148.1
69,Eternal Sunshine of the Spotless Mind,ÉPIQUE,Romance+Science-Fiction,L'effacement des souvenirs,regen_start,109,58,0.5321,45,60,0.75,187.6
70,Million Dollar Baby,ÉPIQUE,Drame,Le dernier round,lowhp_boost,109,53,0.4862,59,70,0.84,216.2
71,Batman Begins,ÉPIQUE,Action+Crime,L'ombre de la chauve-souris,evasion,109,70,0.6422,112,63,1.78,149.8
72,Brokeback Mountain,ÉPIQUE,Romance+Drame,La montagne secrète,regen_start,109,44,0.4037,19,83,0.23,184.3
73,Le Prestige,ÉPIQUE,Drame+Science-Fiction,Le sacrifice du magicien,lowhp_boost,109,65,0.5963,105,62,1.69,160.2
74,Casino Royale,ÉPIQUE,Action+Thriller,La course-poursuite de Madagascar,evasion,109,55,0.5046,44,64,0.69,173.4
75,Les Infiltrés,ÉPIQUE,Crime+Thriller,La taupe insaisissable,evasion,109,47,0.4312,96,70,1.37,151.4
76,There Will Be Blood,ÉPIQUE,Drame,Je bois ton milkshake,lowhp_boost,109,49,0.4495,73,74,0.99,181.8
77,No Country for Old Men,ÉPIQUE,Thriller+Crime,Le tueur fantôme,evasion,109,64,0.5872,84,65,1.29,155.0
78,Into the Wild,ÉPIQUE,Aventure+Drame,Vers la nature sauvage,evasion,109,60,0.5505,55,75,0.73,200.5
79,Gran Torino,ÉPIQUE,Drame,Le dernier combat de Walt,lowhp_boost,109,48,0.4404,51,72,0.71,205.9
80,Django Unchained,LÉGENDAIRE,Western+Crime,Le D est muet,start_boost,195,117,0.6000,239,127,1.88,100.5
81,Incendies,ÉPIQUE,Drame+Thriller,1 + 1 = 1,endure_once,109,60,0.5505,104,70,1.49,108.4
82,Intouchables,ÉPIQUE,Comédie+Drame,Pas d'bras; pas d'chocolat,status_immune,109,54,0.4954,45,71,0.63,213.4
83,Prisoners,ÉPIQUE,Thriller+Crime,Espère le meilleur; prépare-toi au pire,crit_immune,109,60,0.5505,74,53,1.40,160.9
84,Blade Runner 2049,ÉPIQUE,Science-Fiction+Thriller,Cellules interconnectées,per_turn_boost,109,54,0.4954,62,73,0.85,176.1
85,Tu ne tueras point,ÉPIQUE,Guerre+Drame,Encore un; Seigneur,per_turn_boost,109,61,0.5596,75,68,1.10,197.1
86,Gone Girl,ÉPIQUE,Thriller+Crime,Cool Girl,entry_drop,109,57,0.5229,82,63,1.30,145.2
87,Spotlight,ÉPIQUE,Drame,Suivez l'histoire,true_hit,109,45,0.4128,53,81,0.65,195.6
88,La La Land,ÉPIQUE,Romance+Comédie,Aux fous qui rêvent,status_immune,109,54,0.4954,45,80,0.56,214.8
89,1917,ÉPIQUE,Guerre,Plan-séquence,always_first,109,55,0.5046,119,63,1.89,148.9
90,The Father,ÉPIQUE,Drame,Où est ma montre ?,flavor,109,47,0.4312,38,79,0.48,191.7
91,Dune,ÉPIQUE,Science-Fiction+Aventure,La peur tue l'esprit,status_immune,109,66,0.6055,81,59,1.37,165.4
92,Oppenheimer,LÉGENDAIRE,Drame+Thriller,Je suis devenu la Mort,flavor,195,115,0.5897,179,141,1.27,98.9
93,Chainsaw Man – The Reze Arc,LÉGENDAIRE,Action+Romance,Kobeni,flavor,195,104,0.5333,95,172,0.55,154.1
94,The Thing,LÉGENDAIRE,Horreur+Science-Fiction,Qui va là ?,flavor,195,111,0.5692,112,152,0.74,133.0
95,Zodiac,ÉPIQUE,Thriller+Crime,Ici le Zodiaque,status_immune,109,57,0.5229,90,69,1.30,164.6
96,The Social Network,ÉPIQUE,Drame,Je suis le PDG; connard,start_boost,109,51,0.4679,56,80,0.70,158.0
97,Whiplash,LÉGENDAIRE,Drame,Pas mon tempo,per_turn_boost,194,110,0.5670,131,156,0.84,133.1
98,Black Swan,ÉPIQUE,Drame+Thriller,J'étais parfaite,lowhp_boost,109,61,0.5596,74,61,1.21,168.9
99,The Revenant,ÉPIQUE,Aventure+Drame,Tant que je respire; je me bats,endure_once,109,62,0.5688,83,73,1.14,202.3
100,Birdman,ÉPIQUE,Drame+Comédie,La voix de Birdman,start_boost,109,51,0.4679,29,75,0.39,188.0
101,Her,ÉPIQUE,Romance+Science-Fiction,Elle en aime 641,flavor,109,48,0.4404,30,69,0.43,209.4
102,Arrival,ÉPIQUE,Science-Fiction+Drame,Le temps n'est pas linéaire,flavor,110,54,0.4909,67,72,0.93,166.7
103,Sicario,ÉPIQUE,Thriller+Crime,Le pays des loups,lowhp_boost,109,61,0.5596,83,65,1.28,142.2
104,Enemy,RARE,Thriller+Horreur,Le double inquiétant,entry_drop,109,53,0.4862,45,61,0.74,155.3
105,Nightcrawler,ÉPIQUE,Thriller+Crime,Je suis un négociateur,flavor,109,64,0.5872,95,64,1.48,147.7
106,Donnie Darko,ÉPIQUE,Science-Fiction+Thriller,28 jours; 6 heures…,flavor,109,51,0.4679,55,68,0.81,171.1
107,The Truman Show,ÉPIQUE,Drame+Comédie,Bonjour; et au cas où; bonsoir,start_boost,109,48,0.4404,70,71,0.99,180.1
108,Shrek,ÉPIQUE,Animation+Comédie,Les ogres; c'est comme les oignons,multiscale_first,109,64,0.5872,109,57,1.91,137.5
109,Ratatouille,ÉPIQUE,Animation+Comédie,Tire les cheveux,flavor,109,55,0.5046,71,70,1.01,182.1
110,Wall-E,ÉPIQUE,Animation+Science-Fiction,EEEVE-uh,endure_once,109,58,0.5321,71,67,1.06,199.1
111,Up,ÉPIQUE,Animation+Aventure,ÉCUREUIL !,miss_chance,109,61,0.5596,56,73,0.77,219.2
112,Coco,ÉPIQUE,Animation+Aventure,Souviens-toi de moi,start_boost,109,60,0.5505,72,72,1.00,184.7
113,Le Roi Lion,LÉGENDAIRE,Animation+Drame,Souviens-toi de qui tu es,lowhp_boost,196,108,0.5510,286,146,1.96,145.7
114,Le Voyage de Chihiro,LÉGENDAIRE,Animation+Fantastique,Ne te retourne pas,status_immune,195,109,0.5590,181,149,1.21,156.8
115,Your Name,ÉPIQUE,Romance+Fantastique,Kataware-doki,dodge_first,109,55,0.5046,72,69,1.04,191.1
116,Akira,LÉGENDAIRE,Animation+Science-Fiction,TETSUOOO !,per_turn_boost,195,142,0.7282,478,95,5.03,98.2
117,Ghost in the Shell,ÉPIQUE,Animation+Science-Fiction,Camouflage thermoptique,evasion,109,54,0.4954,56,72,0.78,203.9
118,Perfect Blue,ÉPIQUE,Animation+Thriller,Qui est la vraie Mima ?,reflect_chance,109,52,0.4771,88,65,1.35,152.6
119,The Grand Budapest Hotel,ÉPIQUE,Comédie+Aventure,la Société des Clés Croisées,flavor,109,61,0.5596,76,70,1.09,185.9
120,Moonrise Kingdom,ÉPIQUE,Comédie+Romance,Je t'aime mais tu ne sais pas de quoi tu parles,status_immune,109,58,0.5321,55,64,0.86,176.4
121,Fantastic Mr. Fox,ÉPIQUE,Animation+Comédie,On est tous des animaux sauvages,lowhp_boost,109,63,0.5780,103,54,1.91,158.6
122,The Lighthouse,RARE,Horreur+Drame,La folie du phare,miss_chance,109,58,0.5321,71,59,1.20,163.8
123,The Witch,RARE,Horreur,Veux-tu vivre délicieusement ?,miss_chance,109,50,0.4587,19,67,0.28,207.3
124,Midsommar,RARE,Horreur+Drame,La fête païenne en plein jour,miss_chance,109,56,0.5138,62,64,0.97,190.6
125,Get Out,ÉPIQUE,Horreur+Thriller,Va dans le Lieu Englouti,miss_chance,109,59,0.5413,82,69,1.19,157.0
126,Us,RARE,Horreur+Thriller,Les Attachés,miss_chance,109,50,0.4587,59,65,0.91,177.3
127,Nope,RARE,Horreur+Science-Fiction,Surtout; ne le regarde pas,miss_chance,109,53,0.4862,48,71,0.68,179.8
128,The Batman,ÉPIQUE,Action+Crime,Je suis la Vengeance,lowhp_boost,110,61,0.5545,127,50,2.54,148.1
129,Avengers: Endgame,ÉPIQUE,Action+Aventure,Avengers… Rassemblement !,flavor,109,54,0.4954,79,72,1.10,202.7
130,Spider-Man: No Way Home,ÉPIQUE,Action+Aventure,Les trois Spider-Man,lowhp_boost,109,61,0.5596,114,65,1.75,164.2
131,Harry Potter à l'école des sorciers,ÉPIQUE,Aventure+Fantastique,T'es un sorcier; Harry,start_boost,109,44,0.4037,39,72,0.54,173.3
132,Pirates des Caraïbes,ÉPIQUE,Action+Aventure,Capitaine Jack Sparrow,flavor,109,45,0.4128,72,71,1.01,194.3
133,Mission: Impossible,ÉPIQUE,Action+Thriller,Votre mission; si vous l'acceptez,true_hit,109,53,0.4862,60,71,0.85,140.8
134,Skyfall,ÉPIQUE,Action+Thriller,Bond. James Bond,start_boost,109,51,0.4679,47,76,0.62,143.6
135,Tenet,ÉPIQUE,Action+Science-Fiction,Ressens-le; ne cherche pas à comprendre,flavor,109,43,0.3945,39,72,0.54,197.7
136,Dunkerque,ÉPIQUE,Guerre+Thriller,Rentrer chez soi,lowhp_boost,109,64,0.5872,124,76,1.63,157.6
137,The Irishman,ÉPIQUE,Crime+Drame,Il paraît que tu repeins les maisons,true_hit,109,56,0.5138,58,73,0.79,196.1
138,Killers of the Flower Moon,ÉPIQUE,Crime+Western,Le règne de la terreur,per_turn_boost,110,56,0.5091,55,76,0.72,164.5
139,Casino,ÉPIQUE,Crime+Drame,Tout le monde surveille tout le monde,status_immune,109,42,0.3853,41,73,0.56,188.0
140,The Hateful Eight,ÉPIQUE,Western+Crime,Désormais; c'est Daisy qui paie,ally_fall_boost,110,40,0.3636,40,80,0.50,184.9
141,Once Upon a Time in Hollywood,ÉPIQUE,Comédie+Drame,Rick putain de Dalton,lowhp_boost,109,58,0.5321,55,68,0.81,208.2
142,Le Pianiste,ÉPIQUE,Drame+Guerre,Tant que je joue; je survis,flavor,109,48,0.4404,58,84,0.69,196.6
143,La vie est belle,LÉGENDAIRE,Comédie+Drame,C'est un jeu,flavor,195,103,0.5282,108,169,0.64,151.3
144,Roma,ÉPIQUE,Drame,Je ne voulais pas qu'il naisse,status_immune,109,49,0.4495,36,78,0.46,201.0
145,Marriage Story,ÉPIQUE,Drame,La liste de ce que j'aime chez lui,regen_start,109,39,0.3578,50,81,0.62,195.7
146,Manchester by the Sea,ÉPIQUE,Drame,Je peux pas le surmonter,status_immune,109,45,0.4128,54,78,0.69,167.8
147,Sound of Metal,ÉPIQUE,Drame,Le silence est le royaume de Dieu,status_immune,109,57,0.5229,45,70,0.64,209.7
148,Everything Everywhere All at Once,ÉPIQUE,Science-Fiction+Aventure,Verse-saut,per_turn_boost,108,62,0.5741,49,71,0.69,181.4
149,Dune: Deuxième Partie,ÉPIQUE,Science-Fiction+Aventure,Lisan al-Gaib !,start_team_boost,109,50,0.4587,65,69,0.94,181.7
150,Furiosa,ÉPIQUE,Action+Aventure,Je veux récupérer ce qu'on m'a pris,lowhp_boost,109,57,0.5229,92,67,1.37,153.9
151,Civil War,ÉPIQUE,Guerre+Thriller,On photographie pour que d'autres se posent la question,true_hit,109,53,0.4862,90,74,1.22,119.0
152,The Substance,ÉPIQUE,Horreur+Science-Fiction,Tu ne fais qu'Une,lowhp_boost,108,47,0.4352,39,66,0.59,199.9
153,Nosferatu,RARE,Horreur,L'ombre de Nosferatu,miss_chance,109,35,0.3211,37,80,0.46,174.9
154,Mickey 17,RARE,Science-Fiction+Comédie,Le consommable,status_immune,109,52,0.4771,59,71,0.83,166.9
155,Gladiator II,RARE,Action+Drame,L'héritier de l'arène,start_boost,109,55,0.5046,72,63,1.14,152.1
156,Joker: Folie à Deux,RARE,Drame+Crime,La folie à deux,lowhp_boost,109,50,0.4587,39,75,0.52,155.6
157,Deadpool & Wolverine,ÉPIQUE,Action+Comédie,Facteur guérisseur,flavor,108,65,0.6019,84,65,1.29,195.4
158,Vice Versa 2,ÉPIQUE,Animation+Comédie,Anxiété aux commandes,lowhp_boost,109,61,0.5596,91,72,1.26,163.6
159,Le Mépris,ÉPIQUE,Drame,Et mes fesses; tu les aimes ?,start_boost,108,53,0.4907,28,66,0.42,231.6
160,Paris; Texas,ÉPIQUE,Drame,La chemise rouge,status_immune,109,57,0.5229,74,76,0.97,196.5
161,Stalker,ÉPIQUE,Science-Fiction+Drame,La Zone décide,flavor,109,58,0.5321,56,61,0.92,159.6
162,Andreï Roublev,ÉPIQUE,Drame,Le vœu de silence,status_immune,109,63,0.5780,60,71,0.85,204.8
163,Mulholland Drive,ÉPIQUE,Thriller+Drame,No hay banda,flavor,108,58,0.5370,88,66,1.33,149.5
164,Lost Highway,ÉPIQUE,Thriller+Horreur,On s'est déjà rencontrés,status_immune,109,56,0.5138,72,73,0.99,155.3
165,The Elephant Man,ÉPIQUE,Drame,Je ne suis pas un animal,status_immune,109,61,0.5596,72,73,0.99,192.4
166,The Tree of Life,RARE,Drame,L'arbre de vie,lowhp_boost,109,53,0.4862,87,63,1.38,156.1
167,The Thin Red Line,ÉPIQUE,Guerre+Drame,D'où vient ce mal ?,status_immune,109,55,0.5046,36,67,0.54,171.5
168,A Ghost Story,RARE,Drame+Fantastique,Le drap qui attend,lowhp_boost,109,50,0.4587,58,71,0.82,159.9
169,First Reformed,ÉPIQUE,Drame,Dieu nous pardonnera-t-il ?,status_immune,109,43,0.3945,32,83,0.39,205.3
170,Uncut Gems,ÉPIQUE,Thriller+Crime,C'est comme ça que je gagne,lowhp_boost,109,66,0.6055,122,66,1.85,160.1
171,Good Time,ÉPIQUE,Thriller+Crime,Je dois sortir mon frère,lowhp_boost,108,47,0.4352,65,63,1.03,162.4
172,The Florida Project,ÉPIQUE,Drame,On va voir l'arc-en-ciel,flavor,109,40,0.3670,42,80,0.53,209.1
173,Moonlight,ÉPIQUE,Drame,Au clair de lune; les Noirs paraissent bleus,status_immune,109,49,0.4495,56,77,0.73,205.8
174,12 Years a Slave,ÉPIQUE,Drame,Je ne veux pas survivre; je veux vivre,flavor,109,58,0.5321,45,65,0.69,224.9
175,Green Book,ÉPIQUE,Drame+Comédie,Le monde est plein de gens seuls,per_turn_boost,109,54,0.4954,50,72,0.69,193.1
176,The Shape of Water,ÉPIQUE,Romance+Fantastique,Si on ne fait rien; nous non plus on n'est rien,flavor,109,52,0.4771,59,76,0.78,205.6
177,Children of Men,ÉPIQUE,Science-Fiction+Thriller,Le bébé,lowhp_boost,109,57,0.5229,87,79,1.10,165.0
178,Gravity,ÉPIQUE,Science-Fiction+Thriller,Il faut apprendre à lâcher prise,endure_once,109,55,0.5046,56,75,0.75,158.1
179,Le Labyrinthe de Pan,ÉPIQUE,Fantastique+Drame,La craie magique,flavor,109,51,0.4679,48,74,0.65,192.1
180,Hell or High Water,ÉPIQUE,Crime+Western,Personne n'échappe à ses dettes,lowhp_boost,108,55,0.5093,61,65,0.94,161.5
181,Wind River,ÉPIQUE,Thriller+Crime,On survit ou on abandonne,lowhp_boost,108,56,0.5185,71,76,0.93,159.2
182,The Big Short,ÉPIQUE,Comédie+Drame,Wall Street adore les acronymes,flavor,109,56,0.5138,51,72,0.71,174.5
183,Moneyball,ÉPIQUE,Drame,On achète des victoires; donc des points,true_hit,109,55,0.5046,34,70,0.49,194.7
184,Ford v Ferrari,ÉPIQUE,Action+Drame,7000 tours,status_immune,108,57,0.5278,65,72,0.90,170.9
185,Rush,ÉPIQUE,Action+Drame,Le bonheur est l'ennemi,lowhp_boost,109,57,0.5229,132,61,2.16,172.4
186,The Imitation Game,ÉPIQUE,Drame+Thriller,Ceux qu'on n'imagine capables de rien,start_boost,109,53,0.4862,99,67,1.48,158.2
187,Ex Machina,ÉPIQUE,Science-Fiction+Thriller,Tu m'aimes bien ?,flavor,108,50,0.4630,66,73,0.90,152.0
188,Annihilation,RARE,Science-Fiction+Horreur,Le Chatoiement,status_immune,109,58,0.5321,65,71,0.92,147.0
189,Looper,ÉPIQUE,Science-Fiction+Action,Fermer la boucle,flavor,109,55,0.5046,46,68,0.68,155.2
190,Edge of Tomorrow,ÉPIQUE,Science-Fiction+Action,Recommence,flavor,109,48,0.4404,57,73,0.78,166.6
191,Minority Report,ÉPIQUE,Science-Fiction+Thriller,Pré-crime,dodge_first,109,58,0.5321,93,66,1.41,135.9
192,A.I. Intelligence artificielle,ÉPIQUE,Science-Fiction+Drame,Maman; je serai un vrai petit garçon,status_immune,109,53,0.4862,52,78,0.67,200.1
193,Ready Player One,ÉPIQUE,Science-Fiction+Aventure,Rewind,flavor,109,50,0.4587,54,73,0.74,177.8
194,The Fabelmans,ÉPIQUE,Drame,Les films sont des rêves qu'on n'oublie jamais,regen_start,108,58,0.5370,59,71,0.83,200.4
195,West Side Story,ÉPIQUE,Romance+Drame,Tonight,start_boost,108,53,0.4907,44,72,0.61,195.7
196,Babylon,ÉPIQUE,Drame+Comédie,Le cinéma est plus grand que la vie,flavor,109,46,0.4220,61,74,0.82,165.3
197,The Northman,ÉPIQUE,Action+Aventure,Je te vengerai; Père,lowhp_boost,109,57,0.5229,92,66,1.39,150.3
198,The Banshees of Inisherin,ÉPIQUE,Comédie+Drame,Je ne t'aime plus,entry_drop,108,53,0.4907,29,74,0.39,194.8
199,Aftersun,ÉPIQUE,Drame,Quand j'avais onze ans,status_immune,109,51,0.4679,52,76,0.68,178.3
200,Past Lives,ÉPIQUE,Romance+Drame,In-yun,multiscale_first,109,45,0.4128,27,80,0.34,211.1
201,The Whale,ÉPIQUE,Drame,Les gens sont incapables de ne pas être bienveillants,per_turn_boost,109,61,0.5596,49,68,0.72,198.7
202,Tár,ÉPIQUE,Drame,Tu dois servir le compositeur,start_boost,109,39,0.3578,53,80,0.66,188.3
203,Decision to Leave,ÉPIQUE,Thriller+Romance,Je suis devenu fou de toi,miss_chance,108,47,0.4352,50,67,0.75,147.7
204,Memories of Murder,ÉPIQUE,Thriller+Crime,Tu connais ce visage ?,entry_drop,109,58,0.5321,95,69,1.38,144.7
205,Burning,ÉPIQUE,Thriller+Drame,Les serres qu'on brûle,miss_chance,109,61,0.5596,83,69,1.20,149.8
206,Snowpiercer,ÉPIQUE,Science-Fiction+Action,Garde ta place,lowhp_boost,109,51,0.4679,71,69,1.03,149.0
207,Jurassic Park,LÉGENDAIRE,Aventure+Science-Fiction,La vie trouve toujours un chemin,endure_once,195,115,0.5897,206,144,1.43,144.1
208,Shutter Island,ÉPIQUE,Thriller+Drame,Vivre en monstre ou mourir en homme bien,flavor,109,61,0.5596,92,67,1.37,123.3
209,Drive,ÉPIQUE,Crime+Action,Cinq minutes,entry_drop,109,50,0.4587,66,65,1.02,181.7
210,La Chasse,ÉPIQUE,Drame,Regarde-moi dans les yeux,status_immune,109,40,0.3670,45,84,0.54,220.3
211,Warrior,ÉPIQUE,Drame+Action,Je t'aime; Tommy,lowhp_boost,109,59,0.5413,99,64,1.55,180.2
212,Joker,LÉGENDAIRE,Drame+Crime,Ma vie est une comédie,flavor,195,111,0.5692,138,148,0.93,106.4
