filmNum,filmName,moveName,type,cat,pow,acc,equipped,played,avgDamage,koRate,ia_pilotee
7,Parasite,« Jessica; fille unique »,Comédie,spe,75,95,130,313,49.5,0.1661,true
7,Parasite,La pierre du lettré,Thriller,phys,75,100,130,21,43.7,0.0476,true
7,Parasite,« L'odeur de ceux qui prennent le métro »,Thriller,spe,75,95,130,553,48.6,0.1627,true
7,Parasite,L'inondation du banjiha,Thriller,phys,80,95,130,92,48.8,0.1413,true
7,Parasite,Le massacre de la garden-party,Thriller,phys,60,100,130,0,,,true
8,Forrest Gump,« Cours; Forrest; cours ! »,—,status,,100,130,243,0.0,0.0000,true
8,Forrest Gump,« La vie; c'est comme une boîte de chocolats »,Comédie,spe,75,95,130,160,38.6,0.1375,true
8,Forrest Gump,Le smash de ping-pong,Comédie,phys,105,90,130,365,47.1,0.1178,true
8,Forrest Gump,Le sauvetage de Bubba,Drame,phys,55,100,130,241,32.9,0.0788,true
8,Forrest Gump,Bubba Gump Shrimp Co.,—,status,,100,130,661,0.0,0.0000,true
8,Forrest Gump,« Stupide est celui qui agit stupidement »,Comédie,spe,80,95,130,469,42.4,0.1386,true
9,Titanic,« Je suis le roi du monde ! »,—,status,,100,130,5,0.0,0.0000,false
9,Titanic,Le Cœur de l'Océan,—,status,,100,130,0,,,false
9,Titanic,« Dessine-moi comme une de tes Françaises »,Romance,phys,75,95,130,352,49.6,0.1648,true
9,Titanic,« Never let go »,—,status,,100,130,20,0.0,0.0000,false
9,Titanic,L'iceberg,Drame,phys,90,85,130,637,44.0,0.1193,true
9,Titanic,L'engloutissement,Drame,phys,60,100,130,137,36.3,0.1022,true
10,La Liste de Schindler,« La liste; c'est la vie »,Drame,spe,75,95,130,439,39.6,0.1412,true
10,La Liste de Schindler,Les onze cents noms,Guerre,spe,80,95,130,815,44.6,0.1350,true
10,La Liste de Schindler,« J'aurais pu en sauver plus »,—,status,,100,130,20,0.0,0.0000,false
10,La Liste de Schindler,La fabrique d'émail,—,status,,100,130,233,0.0,0.0000,true
10,La Liste de Schindler,Le rachat des ouvriers,Drame,phys,55,100,130,59,24.8,0.1017,true
10,La Liste de Schindler,La fillette au manteau rouge,Drame,spe,60,100,130,394,31.2,0.0939,true
11,Les Évadés,Le marteau de poche,Drame,phys,135,70,130,569,79.0,0.2988,true
11,Les Évadés,Rita Hayworth au mur,Drame,spe,75,95,130,474,39.7,0.1329,true
11,Les Évadés,La pluie de la liberté,—,status,,100,130,877,0.0,0.0000,true
11,Les Évadés,« S'occuper de vivre ou de mourir »,—,status,,100,130,326,0.0,0.0000,true
11,Les Évadés,L'évasion par l'égout,—,status,,100,130,98,0.0,0.0000,false
11,Les Évadés,Les retrouvailles à Zihuatanejo,Drame,phys,65,95,130,403,61.0,0.2556,true
12,Inception,Le totem,Science-Fiction,spe,75,95,130,159,56.3,0.1572,true
12,Inception,« Il nous faut aller plus profond »,Science-Fiction,phys,30,95,130,8,29.3,0.0000,true
12,Inception,Paris qui se replie,Science-Fiction,spe,80,95,130,579,51.3,0.1641,true
12,Inception,La bagarre en apesanteur,Action,phys,60,100,130,72,59.9,0.2361,true
12,Inception,Le kick,Action,phys,55,100,130,48,30.9,0.4375,true
12,Inception,L'inception,Action,spe,80,95,130,401,51.9,0.1496,true
13,Interstellar,Gargantua,Science-Fiction,phys,90,85,130,581,51.8,0.1704,true
13,Interstellar,La dilatation temporelle,Drame,phys,75,95,130,258,64.6,0.2132,true
13,Interstellar,Le Tesseract,—,status,,100,130,123,0.0,0.0000,false
13,Interstellar,« L'amour transcende l'espace et le temps »,—,status,,100,130,359,0.0,0.0000,true
13,Interstellar,La vague de Miller,Science-Fiction,phys,55,100,130,186,42.5,0.1237,true
13,Interstellar,L'amarrage en rotation,—,status,,100,130,242,0.0,0.0000,true
14,The Dark Knight,Le tour du crayon,Crime,phys,40,95,130,55,24.5,0.2545,true
14,The Dark Knight,« Pourquoi tant de sérieux ? »,Crime,phys,75,95,130,171,67.5,0.2222,true
14,The Dark Knight,L'agent du chaos,Action,phys,80,95,130,564,60.2,0.2270,true
14,The Dark Knight,Le semi retourné,Action,phys,80,95,130,651,61.7,0.2519,true
14,The Dark Knight,La Bat-Pod,Action,phys,80,90,130,99,66.9,0.3131,true
14,The Dark Knight,La pièce de Harvey Dent,Crime,phys,120,60,130,111,80.7,0.3694,true
15,Mad Max: Fury Road,Le War Rig,Action,phys,120,75,130,401,68.8,0.2618,true
15,Mad Max: Fury Road,Le Doof Warrior,Action,phys,85,85,130,182,85.0,0.3846,true
15,Mad Max: Fury Road,« Sois témoin ! »,Action,phys,75,95,130,83,86.3,0.3614,true
15,Mad Max: Fury Road,« Argenté et chromé »,—,status,,100,130,180,0.0,0.0000,true
15,Mad Max: Fury Road,La tempête de sable,Aventure,phys,75,90,130,156,66.4,0.2115,true
15,Mad Max: Fury Road,Les Polecats,Action,phys,70,100,130,0,,,true
16,Bernie,L'orphelin enragé,Comédie,phys,65,95,73,4,48.3,0.5000,true
16,Bernie,La quête des vrais parents,—,status,,100,74,80,0.0,0.0000,true
16,Bernie,La cassette gênante,Comédie,phys,75,95,74,48,84.7,0.4167,true
16,Bernie,Le bricolage qui explose,Comédie,phys,90,85,73,188,61.8,0.2926,true
16,Bernie,La logique de gosse,Comédie,phys,80,95,73,130,60.6,0.2385,true
16,Bernie,Le câlin maladroit,—,status,,100,73,122,0.0,0.0000,true
17,Le Créateur,La pièce qui part en vrille,Comédie,spe,65,100,73,26,69.0,0.3077,true
17,Le Créateur,La fuite en panique,—,status,,100,73,0,,,false
17,Le Créateur,Le génie incompris,—,status,,100,72,85,0.0,0.0000,true
17,Le Créateur,La crise de création,Drame,phys,55,100,72,83,56.2,0.2289,true
17,Le Créateur,Le final improvisé,Comédie,phys,85,95,73,191,62.7,0.2827,true
17,Le Créateur,Le quiproquo général,Drame,spe,75,95,73,72,37.4,0.1528,true
18,Enfermés dehors,L'uniforme de flic volé,—,status,,100,73,110,0.0,0.0000,true
18,Enfermés dehors,Le SDF justicier,Comédie,phys,65,95,74,76,19.0,0.1316,true
18,Enfermés dehors,Le faux interrogatoire,Comédie,phys,75,95,73,72,33.8,0.1389,true
18,Enfermés dehors,La bavure burlesque,Comédie,phys,85,95,73,421,38.1,0.1473,true
18,Enfermés dehors,La logique du trottoir,Comédie,phys,80,95,74,139,36.2,0.1655,true
18,Enfermés dehors,La solidarité des paumés,—,status,,100,73,370,0.0,0.0000,true
19,Le Vilain,Maman pas si gentille,—,status,,100,73,20,0.0,0.0000,false
19,Le Vilain,Le fils encombrant,Comédie,phys,55,100,73,47,26.6,0.0638,true
19,Le Vilain,Les pièges de la maison,Comédie,phys,75,95,73,125,41.0,0.1600,true
19,Le Vilain,La tendresse vénéneuse,Horreur,phys,80,95,72,169,27.2,0.0888,true
19,Le Vilain,Le règlement de comptes familial,Comédie,phys,80,95,72,331,38.4,0.1843,true
19,Le Vilain,La larme de crocodile,—,status,,100,73,334,0.0,0.0000,true
20,9 mois ferme,La grossesse-surprise,Comédie,spe,65,100,73,47,36.2,0.1064,true
20,9 mois ferme,La juge intransigeante,—,status,,100,72,70,0.0,0.0000,true
20,9 mois ferme,La nuit qu'on préfère oublier,Comédie,spe,75,95,72,87,49.8,0.2299,true
20,9 mois ferme,Bob; le suspect patibulaire,Crime,phys,80,95,73,110,51.5,0.1727,true
20,9 mois ferme,La plaidoirie qui dérape,Comédie,spe,80,95,73,230,48.0,0.1826,true
20,9 mois ferme,Le coup de pied du bébé,Comédie,phys,55,100,73,13,25.9,0.6923,true
21,Au revoir là-haut,La gueule cassée,—,status,,100,73,0,,,false
21,Au revoir là-haut,Les masques somptueux,Crime,spe,75,95,73,101,46.4,0.2178,true
21,Au revoir là-haut,L'arnaque aux monuments aux morts,Drame,spe,80,95,73,238,44.3,0.1975,true
21,Au revoir là-haut,La tranchée de 1918,Drame,phys,85,95,73,124,42.0,0.0968,true
21,Au revoir là-haut,La cote 113,Drame,phys,65,95,72,14,40.4,0.2857,true
21,Au revoir là-haut,L'envol final,—,status,,100,72,160,0.0,0.0000,true
22,Adieu les cons,Le compte à rebours,—,status,,100,73,0,,,false
22,Adieu les cons,JB le rescapé,Comédie,phys,50,100,73,20,33.9,0.3500,true
22,Adieu les cons,M. Blin l'archiviste aveugle,Comédie,spe,75,95,73,91,47.2,0.1758,true
22,Adieu les cons,La quête de l'enfant abandonné,—,status,,100,73,107,0.0,0.0000,true
22,Adieu les cons,La bureaucratie absurde,Comédie,spe,80,95,72,223,49.2,0.1794,true
22,Adieu les cons,Le doigt d'honneur final,Drame,phys,85,95,72,94,47.7,0.1596,true
23,Second tour,La machine de campagne,Comédie,spe,75,95,72,73,45.2,0.1507,true
23,Second tour,Madame Pove; journaliste,Drame,spe,70,95,72,53,36.6,0.1509,true
23,Second tour,Le candidat fantoche,Comédie,spe,80,95,72,219,44.1,0.1461,true
23,Second tour,Le meeting qui dérape,Comédie,phys,55,100,72,29,27.4,0.0690,true
23,Second tour,Le scandale révélé,Drame,phys,85,95,72,151,42.0,0.1325,true
23,Second tour,La promesse trahie,—,status,,100,72,0,,,false
24,Rashômon,Les versions contradictoires,Drame,spe,75,95,73,181,37.1,0.1492,true
24,Rashômon,Tajōmaru le bandit,Crime,phys,90,85,73,47,22.6,0.0638,true
24,Rashômon,Le témoignage du mort,—,status,,100,73,23,0.0,0.0000,false
24,Rashômon,Sous la porte Rashōmon,—,status,,100,73,144,0.0,0.0000,true
24,Rashômon,Le duel dans le bois,Crime,phys,65,95,72,6,18.7,0.1667,true
24,Rashômon,L'effet Rashōmon,Crime,spe,80,95,72,165,33.3,0.1333,true
25,Les 400 coups,L'arrêt sur image final,Drame,spe,75,95,73,202,36.5,0.1287,true
25,Les 400 coups,Antoine Doinel,—,status,,100,73,56,0.0,0.0000,true
25,Les 400 coups,Le Rotor,—,status,,100,73,57,0.0,0.0000,true
25,Les 400 coups,La machine à écrire volée,Drame,phys,55,100,72,29,17.2,0.2414,true
25,Les 400 coups,La course vers la mer,—,status,,100,72,0,,,false
25,Les 400 coups,La fugue,Drame,phys,60,100,73,74,13.3,0.0135,true
26,À bout de souffle,Le jump cut,Crime,spe,75,95,72,107,27.0,0.1308,true
26,À bout de souffle,« New York Herald Tribune »,—,status,,100,73,22,0.0,0.0000,false
26,À bout de souffle,Belmondo en Bogart,—,status,,100,73,108,0.0,0.0000,true
26,À bout de souffle,Le tir sur le motard,Crime,phys,50,100,73,80,34.9,0.3125,true
26,À bout de souffle,La dénonciation de Patricia,—,status,,100,73,44,0.0,0.0000,false
26,À bout de souffle,« T'es vraiment dégueulasse »,Crime,phys,65,95,72,70,43.8,0.1143,true
27,Cléo de 5 à 7,Le tarot de l'angoisse,—,status,,100,72,20,0.0,0.0000,false
27,Cléo de 5 à 7,Le temps réel,Drame,spe,75,95,72,129,39.1,0.2093,true
27,Cléo de 5 à 7,« Sans toi »,—,status,,100,73,119,0.0,0.0000,true
27,Cléo de 5 à 7,La déambulation parisienne,Drame,spe,80,95,73,269,38.7,0.1747,true
27,Cléo de 5 à 7,Le bris du miroir,Drame,phys,65,95,73,0,,,true
27,Cléo de 5 à 7,L'attente du verdict,Drame,phys,80,95,73,7,33.7,0.0000,true
28,L'Enfance d'Ivan,Les rêves d'avant-guerre,—,status,,100,73,167,0.0,0.0000,true
28,L'Enfance d'Ivan,L'éclaireur silencieux,—,status,,100,73,35,0.0,0.0000,false
28,L'Enfance d'Ivan,Le marais nocturne,—,status,,100,73,28,0.0,0.0000,false
28,L'Enfance d'Ivan,La haine de l'enfant soldat,Drame,phys,65,95,72,112,22.2,0.0357,true
28,L'Enfance d'Ivan,Le front de l'Est,Guerre,phys,80,95,72,143,28.7,0.1189,true
28,L'Enfance d'Ivan,Le puits du souvenir,Guerre,spe,75,95,73,201,50.0,0.1791,true
29,2001 : L'Odyssée de l'espace,Le monolithe,—,status,,100,130,19,0.0,0.0000,false
29,2001 : L'Odyssée de l'espace,« Je suis désolé; Dave »,Drame,spe,75,95,130,346,35.5,0.0636,true
29,2001 : L'Odyssée de l'espace,L'os jeté en l'air,Drame,phys,90,85,130,330,29.6,0.0758,true
29,2001 : L'Odyssée de l'espace,« Daisy; Daisy »,—,status,,100,130,7,0.0,0.0000,false
29,2001 : L'Odyssée de l'espace,L'Enfant des étoiles,—,status,,100,130,557,0.0,0.0000,true
29,2001 : L'Odyssée de l'espace,« Jupiter; et au-delà de l'infini »,Science-Fiction,spe,90,85,130,812,35.0,0.0616,true
30,Orange mécanique,Le lait plus,—,status,,100,130,230,0.0,0.0000,true
30,Orange mécanique,La technique Ludovico,—,status,,100,130,0,,,false
30,Orange mécanique,La Neuvième de Beethoven,Drame,spe,80,95,130,373,40.6,0.1072,true
30,Orange mécanique,Les droogs,Drame,phys,75,90,130,330,68.4,0.2606,true
30,Orange mécanique,« Singin' in the Rain »,Drame,spe,75,95,130,21,42.9,0.1429,true
30,Orange mécanique,Les paupières forcées,Science-Fiction,spe,80,95,130,323,43.0,0.0960,true
31,Le Parrain II,« Je sais que c'était toi; Fredo »,—,status,,100,130,177,0.0,0.0000,false
31,Le Parrain II,Le baiser de la mort,Crime,phys,50,100,130,233,45.2,0.2232,true
31,Le Parrain II,L'ascension du jeune Vito,—,status,,100,130,288,0.0,0.0000,true
31,Le Parrain II,Hyman Roth,Drame,spe,75,95,130,542,42.9,0.1310,true
31,Le Parrain II,L'exécution de Fanucci,Crime,phys,80,95,130,578,54.2,0.1782,true
31,Le Parrain II,La solitude du pouvoir,—,status,,100,130,75,0.0,0.0000,false
32,Solaris,L'océan pensant,Science-Fiction,spe,75,95,72,138,34.9,0.1159,true
32,Solaris,Hari ressuscitée,—,status,,100,73,0,,,false
32,Solaris,Le miroir de Solaris,Science-Fiction,spe,80,95,73,207,36.9,0.1159,true
32,Solaris,La lévitation,—,status,,100,73,0,,,false
32,Solaris,La surface liquide,Science-Fiction,phys,60,100,73,9,18.7,0.1111,true
32,Solaris,Le souvenir qui ronge,Drame,phys,90,85,72,69,42.5,0.1594,true
33,Chinatown,« Laisse tomber; Jake. C'est Chinatown »,—,status,,100,72,20,0.0,0.0000,false
33,Chinatown,Le nez tranché,Crime,phys,80,90,72,9,26.2,0.1111,true
33,Chinatown,« Ma sœur ! Ma fille ! »,Crime,spe,75,95,73,108,27.2,0.1019,true
33,Chinatown,Le complot de l'eau,Drame,spe,80,95,73,193,35.6,0.1347,true
33,Chinatown,Noah Cross,—,status,,100,73,110,0.0,0.0000,true
33,Chinatown,Le coup de feu à Chinatown,Crime,phys,80,95,73,36,30.4,0.1389,true
34,Les Dents de la mer,« Da-dun… da-dun »,—,status,,100,129,133,0.0,0.0000,false
34,Les Dents de la mer,« Il va vous falloir un plus gros bateau »,—,status,,100,130,348,0.0,0.0000,true
34,Les Dents de la mer,La morsure du grand blanc,Horreur,phys,85,95,130,551,41.7,0.1198,true
34,Les Dents de la mer,Les barils jaunes,Horreur,phys,75,95,129,239,35.4,0.0837,true
34,Les Dents de la mer,« Souris à ça »,Thriller,phys,65,100,129,718,63.9,0.2521,true
34,Les Dents de la mer,L'attaque sous la flottaison,Horreur,phys,55,95,129,86,16.7,0.1395,true
35,Rocky,Les marches du musée de Philadelphie,—,status,,100,130,243,0.0,0.0000,true
35,Rocky,Les œufs crus,—,status,,100,130,676,0.0,0.0000,true
35,Rocky,Le sac de viande,Drame,phys,65,95,130,123,75.2,0.2927,true
35,Rocky,« Yo; Adrian! »,—,status,,100,130,0,,,false
35,Rocky,Tenir les quinze rounds,Drame,phys,75,95,130,272,60.1,0.2206,true
35,Rocky,Le crochet de l'outsider,Drame,phys,80,90,130,868,59.9,0.2385,true
36,E.T. l'extra-terrestre,Le doigt qui guérit,—,status,,100,129,599,0.0,0.0000,true
36,E.T. l'extra-terrestre,« E.T. téléphone maison »,—,status,,100,129,22,0.0,0.0000,false
36,E.T. l'extra-terrestre,Le vélo dans la lune,—,status,,100,129,17,0.0,0.0000,false
36,E.T. l'extra-terrestre,Le lien empathique,Drame,spe,75,95,130,388,38.5,0.0773,true
36,E.T. l'extra-terrestre,La télékinésie,Science-Fiction,spe,90,85,129,676,38.6,0.0962,true
36,E.T. l'extra-terrestre,Le cœur qui s'illumine,Science-Fiction,spe,70,100,130,165,31.3,0.1333,true
37,Amadeus,Le rire de Mozart,Drame,spe,75,95,72,20,23.6,0.1500,true
37,Amadeus,« Trop de notes »,Drame,spe,80,95,72,174,33.8,0.0920,true
37,Amadeus,La jalousie de Salieri,—,status,,100,73,87,0.0,0.0000,true
37,Amadeus,Le génie sans rature,—,status,,100,73,0,,,false
37,Amadeus,Le Requiem,Drame,spe,80,95,73,183,30.5,0.1038,true
37,Amadeus,Le crescendo final,Drame,spe,30,95,73,1,0.0,0.0000,true
38,Top Gun,« J'ai besoin… besoin de vitesse »,—,status,,100,73,23,0.0,0.0000,true
38,Top Gun,« Danger Zone »,Action,phys,85,95,73,108,28.0,0.1204,true
38,Top Gun,« J'étais retourné »,—,status,,100,73,0,,,false
38,Top Gun,Le verrouillage missile,Action,spe,55,100,73,10,15.1,0.2000,true
38,Top Gun,Le combat tournoyant,Action,phys,60,100,74,46,30.5,0.1087,true
38,Top Gun,La mort de Goose,Romance,spe,75,95,74,53,32.1,0.1321,true
39,Platoon,« Adagio for Strings »,—,status,,100,72,0,,,false
39,Platoon,Barnes l'implacable,Guerre,phys,90,85,73,224,25.6,0.0625,true
39,Platoon,L'embuscade dans la jungle,Guerre,phys,50,100,73,39,15.0,0.7179,true
39,Platoon,Le tir ami,Guerre,spe,70,95,73,54,27.2,0.0556,true
39,Platoon,« I am reality »,—,status,,100,72,71,0.0,0.0000,true
39,Platoon,L'appui napalm,Guerre,phys,75,95,73,101,32.1,0.0297,true
40,Full Metal Jacket,La tirade de Hartman,—,status,,100,130,0,,,false
40,Full Metal Jacket,« Ceci est mon fusil »,—,status,,100,129,215,0.0,0.0000,true
40,Full Metal Jacket,La sniper de Hué,Guerre,phys,70,95,129,52,73.0,0.3269,true
40,Full Metal Jacket,« Né pour tuer »,—,status,,100,129,200,0.0,0.0000,true
40,Full Metal Jacket,L'assaut de Hué,Guerre,phys,80,95,130,800,65.2,0.2475,true
40,Full Metal Jacket,« Surfin' Bird »,Guerre,phys,75,90,129,300,70.7,0.2767,true
41,Piège de cristal,« Yippee-ki-yay »,—,status,,100,130,172,0.0,0.0000,true
41,Piège de cristal,Les conduits d'aération,—,status,,100,130,0,,,false
41,Piège de cristal,« Maintenant j'ai une mitraillette »,Action,phys,75,90,130,8,88.9,0.6250,true
41,Piège de cristal,Le C4 dans la cage d'ascenseur,Action,phys,80,95,130,213,93.9,0.4225,true
41,Piège de cristal,Le saut du gratte-ciel,Action,phys,120,75,130,337,70.9,0.2671,true
41,Piège de cristal,Hans Gruber,Thriller,phys,75,95,130,255,99.7,0.4039,true
42,Le Cercle des poètes disparus,« Ô Capitaine ! Mon Capitaine ! »,Drame,spe,75,95,73,47,28.4,0.1702,true
42,Le Cercle des poètes disparus,« Carpe diem »,—,status,,100,74,92,0.0,0.0000,true
42,Le Cercle des poètes disparus,Debout sur le bureau,Drame,spe,80,95,73,119,37.5,0.0840,true
42,Le Cercle des poètes disparus,« Déchirez cette page ! »,Drame,spe,70,95,73,5,25.0,0.0000,true
42,Le Cercle des poètes disparus,« Quel sera votre vers ? »,Drame,spe,90,85,74,170,33.8,0.1412,true
42,Le Cercle des poètes disparus,« Cueille le jour »,Drame,phys,55,100,73,0,,,true
43,Goodfellas,« J'ai toujours voulu être un gangster »,—,status,,100,130,330,0.0,0.0000,true
43,Goodfellas,« Drôle comment ? »,—,status,,100,130,166,0.0,0.0000,false
43,Goodfellas,Le plan-séquence du Copacabana,Crime,spe,75,95,130,426,30.7,0.0869,true
43,Goodfellas,La journée sous coke,—,status,,100,130,160,0.0,0.0000,false
43,Goodfellas,« Layla »,Crime,phys,80,95,130,499,56.6,0.1984,true
43,Goodfellas,L'exécution de Spider,Crime,phys,55,95,130,177,38.8,0.2090,true
44,Pretty Woman,« Big mistake. Big. Huge! »,Romance,spe,75,95,72,133,32.0,0.1053,true
44,Pretty Woman,Le shopping sur Rodeo Drive,—,status,,100,73,27,0.0,0.0000,false
44,Pretty Woman,L'écrin à bijoux,Comédie,phys,80,90,72,89,27.4,0.1124,true
44,Pretty Woman,Le charme de Vivian,—,status,,100,73,21,0.0,0.0000,false
44,Pretty Woman,« Je veux mon conte de fées »,—,status,,100,73,89,0.0,0.0000,true
44,Pretty Woman,L'escarpin,Romance,phys,55,100,73,101,24.8,0.2079,true
45,Le Silence des agneaux,« Un foie; des fèves; un bon Chianti »,—,status,,100,130,62,0.0,0.0000,false
45,Le Silence des agneaux,« Quid pro quo »,Horreur,spe,75,95,130,237,36.1,0.1266,true
45,Le Silence des agneaux,Le sphinx tête-de-mort,Thriller,spe,80,95,130,893,53.8,0.1859,true
45,Le Silence des agneaux,Le masque de Hannibal,—,status,,100,130,287,0.0,0.0000,true
45,Le Silence des agneaux,L'évasion de Lecter,Thriller,phys,85,85,130,415,35.2,0.1398,true
45,Le Silence des agneaux,Buffalo Bill en vision nocturne,Thriller,phys,70,100,130,180,21.7,0.0833,true
46,Reservoir Dogs,Le Mexican standoff,Crime,phys,125,70,73,150,58.2,0.2800,true
46,Reservoir Dogs,« Stuck in the Middle with You »,—,status,,100,72,0,,,false
46,Reservoir Dogs,Les noms de couleurs,Crime,spe,75,95,73,35,40.8,0.2000,true
46,Reservoir Dogs,La marche au ralenti,—,status,,100,73,85,0.0,0.0000,true
46,Reservoir Dogs,L'oreille tranchée,Thriller,phys,70,100,72,108,96.9,0.4259,true
46,Reservoir Dogs,« C'est toi; la taupe »,Thriller,spe,80,95,73,110,53.2,0.3091,true
47,Impitoyable,« Le mérite n'a rien à voir là-dedans »,—,status,,100,73,0,,,false
47,Impitoyable,Le réveil de William Munny,—,status,,100,73,81,0.0,0.0000,true
47,Impitoyable,Le massacre du saloon,Western,phys,75,90,73,80,28.8,0.0750,true
47,Impitoyable,Little Bill Daggett,—,status,,100,72,0,,,false
47,Impitoyable,Le dernier whisky,Western,phys,60,100,72,35,23.9,0.0571,true
47,Impitoyable,Le tir du vétéran,Western,phys,75,95,73,225,27.8,0.0533,true
48,Le Seigneur des anneaux : La Communauté de l'anneau,« Vous ne passerez pas ! »,Fantastique,phys,75,95,130,257,48.3,0.1245,true
48,Le Seigneur des anneaux : La Communauté de l'anneau,L'Anneau Unique,Aventure,phys,80,95,130,622,45.0,0.1109,true
48,Le Seigneur des anneaux : La Communauté de l'anneau,Le Balrog de la Moria,Fantastique,phys,75,95,130,364,40.0,0.1099,true
48,Le Seigneur des anneaux : La Communauté de l'anneau,« Mon précieux »,—,status,,100,130,0,,,false
48,Le Seigneur des anneaux : La Communauté de l'anneau,L'Œil de Sauron,—,status,,100,130,0,,,false
48,Le Seigneur des anneaux : La Communauté de l'anneau,Le dernier combat de Boromir,Aventure,phys,60,100,130,150,40.3,0.1400,true
49,Pulp Fiction,« Ézéchiel 25:17 »,—,status,,100,130,1,0.0,0.0000,false
49,Pulp Fiction,La mallette,Thriller,spe,75,95,130,521,61.1,0.1996,true
49,Pulp Fiction,La piqûre d'adrénaline,Crime,spe,80,95,130,449,55.4,0.1871,true
49,Pulp Fiction,Le twist au Jack Rabbit Slim's,Thriller,spe,70,95,130,264,59.7,0.2159,true
49,Pulp Fiction,Le katana du prêteur sur gages,Crime,phys,65,100,130,115,45.9,0.1478,true
49,Pulp Fiction,« J'ai tiré sur Marvin en pleine tête »,Crime,phys,55,95,130,53,34.5,0.3962,true
50,Seven,Les sept péchés capitaux,Thriller,spe,75,95,130,119,46.1,0.1597,true
50,Seven,« Qu'y a-t-il dans la boîte ?! »,Thriller,phys,85,95,130,299,104.3,0.4080,true
50,Seven,John Doe,Thriller,spe,80,95,130,393,50.3,0.1679,true
50,Seven,« Gluttony »,Crime,phys,55,100,130,315,55.8,0.2222,true
50,Seven,La pluie incessante,Thriller,spe,70,95,130,12,38.1,0.0833,true
50,Seven,« Become Wrath »,—,status,,100,130,213,0.0,0.0000,true
51,Heat,La fusillade du centre-ville,Crime,phys,75,90,72,75,32.4,0.1600,true
51,Heat,« Ne t'attache à rien »,—,status,,100,73,31,0.0,0.0000,false
